gene_id,C_0074_BA9_mRNASeq,C_0107_BA9_mRNASeq,H_1106_BA9_mRNASeq,H_0821_BA9_mRNASeq,C_0103_BA9_mRNASeq,C_0113_CAP_mRNASeq,C_0106_BA9_mRNASeq,H_1104_CAP_mRNASeq,C_0114_CAP_mRNASeq,C_0054_BA9_mRNASeq,H_0802_BA9_mRNASeq,H_1105_CAP_mRNASeq,H_0791_BA9_mRNASeq
ENSG00000215414.4,21.0611,0.0,46.0885,0.0,45.2398,42.0,0.0,0.0,0.0,0.0,0.0,47.0814,0.0
ENSG00000228411.1,33.0,0.0,54.0,0.0,73.0,57.0,0.0,0.0,0.0,0.0,1.0,34.0,1.0
ENSG00000206159.10,115.735,107.433,139.868,126.392,179.512,188.976,114.694,106.205,93.4215,51.6976,89.4513,153.278,113.677
ENSG00000225117.1,20.0,0.0,30.0,0.0,64.0,69.0,0.0,0.0,1.0,0.0,0.0,24.0,0.0
ENSG00000271375.1,2.32213,8.0,4.0,11.0,4.0,4.0,9.0,9.0,7.473560000000001,4.0,10.3105,4.0,8.0
ENSG00000235193.1,43.0,126.0,52.0,167.0,156.0,73.0,89.0,148.0,118.0,33.0,72.0,61.0,105.0
ENSG00000099725.14,187.07,92.2701,307.123,104.012,314.719,197.096,71.8312,67.5928,76.5671,63.3233,105.741,229.677,73.5593
ENSG00000099715.14,2613.84,43.7369,3619.77,60.122,3153.14,1636.31,61.9953,51.6368,67.3398,47.0146,42.4448,1153.18,71.8
ENSG00000277930.1,17.2626,26.7263,17.4221,24.1926,23.2575,31.3122,38.7254,21.7197,17.4292,11.6343,20.7918,34.4466,39.0567
ENSG00000231535.5,22.0,3.0,34.0,6.0,19.0,35.9999,0.0,2.0,3.0,2.0,4.0,29.0,4.0
ENSG00000227289.1,13.0,0.0,14.0,0.0,27.0,26.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
ENSG00000129824.15,2085.0,3.0,1994.0,2.0,1491.0,2063.0,0.0,2.0,3.0,0.0,4.0,3187.0,13.0
ENSG00000002586.18_PAR_Y,143.999,169.99900000000005,239.996,258.498,187.998,413.9980000000001,144.498,263.988,358.0030000000001,168.0,180.495,636.495,134.998
ENSG00000230542.6_PAR_Y,6.794580000000002,3.0761700000000003,5.09563,3.5995,4.04114,11.2534,7.71937,5.54274,6.28143,5.16179,10.6366,6.53463,4.6014599999999986
ENSG00000223571.6_PAR_Y,5.43152,2.81815,8.29138,6.1679900000000005,7.99222,3.81377,6.63312,5.54545,11.0748,5.99674,7.94068,3.84998,6.73073
ENSG00000169100.13_PAR_Y,1891.49,1551.95,1485.98,1355.0,1584.49,1719.98,1090.49,1464.98,1835.49,1672.98,1198.49,1930.97,1335.98
ENSG00000198223.16_PAR_Y,118.148,114.536,144.231,104.495,141.92600000000004,135.846,119.459,113.938,150.575,127.816,154.461,298.372,134.474
ENSG00000178605.13_PAR_Y,245.496,282.499,272.999,403.5,353.4980000000001,307.499,196.992,285.499,310.0,175.997,205.0,240.998,280.499
