gene_id,H_1106_BA9_mRNASeq,H_1104_CAP_mRNASeq,H_1105_BA9_mRNASeq,H_1105_CAP_mRNASeq,H_1104_BA9_mRNASeq
ENSG00000203952.9,171.66400000000004,177.333,15.0,118.15,14.0
ENSG00000076716.8,327.0,289.0,153.0,380.0,188.0
ENSG00000171004.17,617.0,1047.0,269.0,2082.0,125.0
ENSG00000147256.10,58.0001,15.0,44.0,80.0,9.0
ENSG00000165675.16,400.895,415.66,131.0,495.175,106.226
ENSG00000134597.14,561.0,346.0,313.0,518.0,180.0
ENSG00000102078.15,905.547,511.172,450.0,961.177,325.004
ENSG00000156709.13,638.747,382.061,384.936,612.248,233.18400000000003
ENSG00000102034.16,26.0,44.0,39.0,94.0,9.0
ENSG00000156697.12,510.345,363.236,201.078,544.095,143.5
ENSG00000235189.1,36.0,21.0,19.0,82.0,6.0
ENSG00000171388.11,402.0,184.0,209.0,441.0,118.0
ENSG00000260683.1,134.128,100.729,3.11354,72.4919,4.022469999999998
ENSG00000198354.6,87.0,73.0,55.0,101.0,36.0
ENSG00000101972.18,4424.13,3612.93,482.217,3878.24,728.5139999999999
ENSG00000101966.12,3801.99,2848.54,689.5110000000002,3327.17,556.893
ENSG00000182890.4,155.72299999999996,139.08,12.3252,120.683,10.4581
ENSG00000158290.16,3421.0,4006.0,740.0,4052.0,716.0
ENSG00000233382.6,154.425,165.15599999999995,17.5626,116.294,19.3782
ENSG00000203989.4,25.9727,21.6266,2.0,16.9888,2.00408
ENSG00000101882.9,1042.94,849.3789999999998,307.634,1012.18,249.834
ENSG00000077721.15,1394.02,925.126,860.0,1550.0,515.0
ENSG00000018610.13,733.176,495.653,314.396,902.995,178.262
ENSG00000005022.5,2527.0,945.0,2086.81,2520.0,1111.96
ENSG00000101856.9,4242.0,1594.0,3396.0,4271.0,1939.0
ENSG00000250423.2,28.9339,25.2719,4.00117,24.6005,3.0
ENSG00000175556.16,158.0,453.0,23.0,440.001,34.9999
ENSG00000174460.3,916.0,728.0,827.0,1256.0,426.0
ENSG00000250995.1,11.0,2.0,3.0,9.0,2.0
