gene_id,H_1106_BA9_mRNASeq,H_1104_CAP_mRNASeq,H_1105_BA9_mRNASeq,H_1105_CAP_mRNASeq,H_1104_BA9_mRNASeq
ENSG00000260773.1,9.595374609799173,8.434744988776748,9.074076258575623,2.2569911033987915,9.72188254769547
ENSG00000072609.17,464.9286633301297,826.5387776757537,896.6191403320823,445.3285837767154,616.8807064909396
ENSG00000176915.14,1058.9225297225746,1234.3732348041638,1804.528223020178,1304.8074696603906,1470.3063629025226
ENSG00000247077.6,413.31364345422577,269.97935193339305,1129.6318021430284,285.8297215113803,796.0971763934233
ENSG00000177084.16,339.1789844149012,612.1616275068826,694.8508208978828,315.29637633942605,1175.7330823447603
ENSG00000277186.1,5.185007354263035,6.4053408479277865,16.118255267151252,4.784421639998498,9.118574839853654
ENSG00000280287.1,49.1864776535526,182.76294987983874,48.407239676934594,64.15789808696985,87.14280027891643
ENSG00000112787.12,244.0669378440848,388.2418005427686,1891.2086180124138,212.82542781205328,1871.5874858799623
ENSG00000256576.2,16.707245919292003,4.483738593549451,254.31024977060866,16.14742303499493,63.830023878975574
ENSG00000183495.13,1293.209967584591,2809.824464419634,1424.835856443652,1462.836916429541,1712.0830951375328
ENSG00000255992.1,6.91334313901738,16.013352119819466,14.327338015245559,4.1863689349986855,9.118574839853654
ENSG00000279283.1,14.978910134537657,253.65149757794035,1.7909172519056948,31.69679336499005,9.118574839853654
ENSG00000177169.9,470.1073334531818,4229.446561886718,2919.1951206062827,1455.0622312645432,3615.5149240019737
ENSG00000256955.2,16.61731484729195,114.42628997555157,42.982014045736676,25.87696307682538,107.14325436828042
ENSG00000198598.6,259.7884562541386,451.3247998835854,2261.9284891568927,206.92623592993505,1438.4551809869138
ENSG00000279431.1,121.3948488495757,156.89049712688885,10.745503511434169,80.20843658375483,9.118574839853654
ENSG00000255933.1,28.229484484320967,33.30777240922449,3.5818345038113897,18.53963385499418,2.2796437099634135
ENSG00000061936.9,830.8628618049563,795.2358769519305,1774.978088363734,624.319179803404,1604.8851293202126
ENSG00000263146.2,53.00229739913325,35.86990874839561,395.79271267115854,71.16827189497766,424.0137300531949
ENSG00000270806.1,5.761119282514484,9.60801127189168,14.327338015245559,11.961054099996245,9.118574839853654
ENSG00000280319.1,140.14556377837556,158.65196586006897,26.563242863715647,111.25694081652509,12.28584342116552
ENSG00000133112.16,10104.254276023677,12529.935606490899,27547.710077088206,21297.912735723814,29589.31942658311
ENSG00000279993.1,23.503926392838462,33.03067736414314,7.168934304343382,48.00874069913043,11.40038421134153
ENSG00000262482.1,1.728335784754345,12.170147611062795,14.327338015245559,2.9902635249990612,18.237149679707308
ENSG00000261273.1,8.641678923771725,16.013352119819466,1.7909172519056948,2.9902635249990612,4.559287419926827
ENSG00000111452.12,190.86588182970485,212.84371156987723,94.98828103210096,197.40105049740308,204.75372263460682
ENSG00000132341.11,4030.847761681214,1878.0523419532751,6014.204587832147,4050.7425425588285,5124.8442279316505
ENSG00000136099.13,458.58509488815287,592.4940284333203,2122.2369435082483,907.8440061897151,2058.518270096962
ENSG00000111450.13,357.16577492683973,330.76859871656694,489.16218359926194,281.3766210699517,591.9642007410395
ENSG00000279905.1,88.20792122265101,96.83914560939624,16.190554596610685,41.745872967101896,18.759279275037326
ENSG00000060709.14,1653.4412340816566,768.6409017513345,1627.9222909752539,579.5130711448181,2101.831500586267
ENSG00000166734.18,3373.406112518508,2921.7065530103887,2106.888782659417,3109.784358093274,2921.2722285697155
ENSG00000265778.2,17.28335784754345,55.08593129217897,17.90917251905695,79.54100976497503,25.076080809597546
ENSG00000111432.4,9.97820098612226,7.268908901045411,30.44559328239681,7.176632459997747,13.677862259780479
ENSG00000250208.6,75.2217822479351,58.832222993906484,21.550286383906414,48.937875381618134,74.79533808827058
ENSG00000206028.1,42.705967406230535,67.62630760425198,16.020077183401785,25.519985417210986,7.535476265469561
ENSG00000214039.8,23.080887403923427,7.981246856743461,1.8015732095545336,16.425098905926344,11.403712491158078
ENSG00000280196.1,19.011693632297796,16.653886204612245,10.745503511434169,6.578579754997935,2.2796437099634135
ENSG00000256581.1,5.185007354263035,40.353647341945056,12.536420763339864,17.941581149994366,11.398218549817067
