gene_id,C_0083_BA9_mRNASeq,C_0010_BA9_mRNASeq,H_0006_BA9_mRNASeq,C_0053_BA9_mRNASeq,H_0689_BA9_mRNASeq,C_0024_BA9_mRNASeq,H_0709_BA9_mRNASeq,H_0014_BA9_mRNASeq,C_0029_BA9_mRNASeq_REPEAT,C_0021_BA9_mRNASeq_REPEAT,C_0074_BA9_mRNASeq,C_0031_BA9_mRNASeq,C_0107_BA9_mRNASeq,C_0005_BA9_mRNASeq,C_0082_BA9_mRNASeq,H_1106_BA9_mRNASeq,C_0032_BA9_mRNASeq,H_0821_BA9_mRNASeq,H_0695_BA9_mRNASeq,C_0019_BA9_mRNASeq,H_0723_BA9_mRNASeq,C_0060_BA9_mRNASeq,H_0750_BA9_mRNASeq,C_0014_BA9_mRNASeq_REPEAT,H_0010_BA9_mRNASeq,H_0002_BA9_mRNASeq,C_0022_BA9_mRNASeq,C_0037_BA9_mRNASeq,C_0029_BA9_mRNASeq,C_0018_BA9_mRNASeq,H_0009_BA9_mRNASeq,H_0013_BA9_mRNASeq,C_0077_BA9_mRNASeq,H_0012_BA9_mRNASeq,C_0002_BA9_mRNASeq,C_0039_BA9_mRNASeq,H_0726_BA9_mRNASeq,C_0020_BA9_mRNASeq,C_0006_BA9_mRNASeq,C_0034_BA9_mRNASeq,C_0076_BA9_mRNASeq,C_0075_BA9_mRNASeq,C_0071_BA9_mRNASeq,C_0015_BA9_mRNASeq,C_0103_BA9_mRNASeq,H_0001_BA9_mRNASeq,H_0007_BA9_mRNASeq,C_0025_BA9_mRNASeq,H_0003_BA9_mRNASeq,C_0113_CAP_mRNASeq,H_0513_BA9_mRNASeq,C_0023_BA9_mRNASeq,C_0033_BA9_mRNASeq,C_0013_BA9_mRNASeq,H_0700_BA9_mRNASeq,C_0061_BA9_mRNASeq,C_0106_BA9_mRNASeq,H_1104_CAP_mRNASeq,C_0036_BA9_mRNASeq,C_0016_BA9_mRNASeq,C_0011_BA9_mRNASeq,C_0065_BA9_mRNASeq,C_0009_BA9_mRNASeq,C_0114_CAP_mRNASeq,H_1105_BA9_mRNASeq,C_0038_BA9_mRNASeq,H_0740_BA9_mRNASeq,C_0003_BA9_mRNASeq,H_0656_BA9_mRNASeq,C_0054_BA9_mRNASeq,C_0004_BA9_mRNASeq,C_0026_BA9_mRNASeq,C_0017_BA9_mRNASeq,H_0802_BA9_mRNASeq,H_1105_CAP_mRNASeq,C_0021_BA9_mRNASeq,C_0070_BA9_mRNASeq,C_0014_BA9_mRNASeq,H_0681_BA9_mRNASeq,H_0539_BA9_mRNASeq,C_0062_BA9_mRNASeq,H_0005_BA9_mRNASeq,C_0012_BA9_mRNASeq,C_0050_BA9_mRNASeq,H_0791_BA9_mRNASeq,C_0018_BA9_mRNASeq_REPEAT,H_1104_BA9_mRNASeq,C_0087_BA9_mRNASeq,H_0658_BA9_mRNASeq,C_0035_BA9_mRNASeq,H_0008_BA9_mRNASeq,H_0657_BA9_mRNASeq,H_0601_BA9_mRNASeq,C_0008_BA9_mRNASeq,C_0081_BA9_mRNASeq,C_0069_BA9_mRNASeq
ENSG00000226179.6_PAR_Y,66.88666415249179,215.3226858706257,161.79472975051118,136.8462213040274,122.71387218653244,84.40506217177261,178.02503700778854,44.16695153044237,180.37912261252987,70.67472070168634,48.35901129320226,192.27046075520488,46.111257832892505,72.82143846507802,84.15887925187464,43.66462864070153,38.53386812418412,56.29925090128186,88.24821754924953,77.70064194775073,145.22067629060967,220.13579129693062,51.13382814747738,57.24717368136936,36.82488137599328,96.38734409736756,125.58121450932569,53.500877539932844,264.07350217727713,259.4932443380415,83.53754411755058,28.02142589231447,29.71752877857332,77.25465709886738,163.3367828771801,238.6388760154535,48.166007564580966,124.65935667833988,148.01512986733388,29.29402032073101,27.82681701290547,121.78375698404035,149.87229143975597,93.8217587796262,57.10202594184434,254.29008883193984,48.20948688882103,143.7459615837077,139.7768796895282,51.49220557171866,170.24290592390471,453.72030083166237,89.40217658025902,124.95501976634394,50.71396684817739,111.30779872902805,48.11082463977271,46.18083927415793,101.70138701523454,104.86482990451344,137.35479348510492,58.13816522879375,186.92987603414755,61.581453064188224,152.98611837826076,39.30865366474596,125.17267925099152,152.0646000831718,233.43919398646403,24.017230248846406,201.72983760315202,124.26835396273948,111.09181623578199,43.64747378703953,40.78664008629973,187.211134651656,96.98578622420168,131.54641974717532,110.19149414291174,60.50651264722598,39.762709297962154,78.42667871717896,155.80453871481438,62.945009930554,38.53439241206298,64.47173224686159,46.70313347650405,50.42800814711301,66.55530746598549,85.16482609383495,148.16056948580604,39.24328330244347,59.48757719213461,84.44162804016355,42.306015322898304,78.20246845874964
ENSG00000270726.6,38.93809014215473,75.92907284338702,26.28870977735567,22.97460513118236,70.05314167148794,130.22532230190942,61.13220708271737,22.60353661037444,40.920120409905294,38.52592507730327,12.107967122535898,26.299991849073628,26.48831982110085,84.98168491493443,39.81361430429942,7.895837102497013,38.689826165159715,24.027847117545136,29.913370910042037,96.08671180604829,72.26829236051,44.922696969057704,56.306323044509725,36.9777846655909,36.96199689895068,29.34755693673181,83.1213973354361,44.60228208017808,77.74504921983359,174.66529545124672,41.99793735289831,40.61856867013285,40.33715097271344,44.08034304917902,127.14407712387913,59.73947791647601,47.85163942635664,138.2696093540993,113.15223900660338,34.1963688856286,54.202953026289386,24.76486937913829,67.83502294584918,129.01756655189942,14.296102692264292,44.564592915317114,43.67581379832471,132.48829878972734,37.325119072747476,21.010114445342836,54.40682439878541,175.66025267728742,31.434780241393643,108.93240569237342,60.00895589756043,32.81563494281448,18.81252268374907,20.166391863971324,38.55228506312698,102.18969133451763,80.7116229764345,31.46799455984577,158.2640091121685,25.047148331730586,45.50106075331873,35.79732810268524,63.86255970131511,151.25947907369024,71.40534503825288,12.382584166871615,105.43714082485442,112.37271430624851,87.6584738280398,15.52082131576394,4.1783732217734695,98.9528492582935,71.90170163779189,110.51768805204723,62.880238057578545,58.684409902403914,39.555244391969815,30.896307591799456,103.5268353871368,36.15460632622249,18.6231325828415,63.492590874346114,83.63014946145738,40.92794084983349,48.12709546486981,61.35934977124881,44.156195150579656,121.2061567854901,63.03641630132553,118.94339391352035,52.33132694316872,42.111638579587975
ENSG00000224533.4,48.41986546329589,62.80176034519639,66.24725715100482,67.11165988144435,44.94163089520265,28.710066538945966,73.93444999582836,54.592455064803325,73.8260918475621,45.58058078124514,76.68669482632444,49.22307561482207,88.13935223252243,29.302618009025927,53.42277508111233,69.09823095441432,18.967891177071504,130.68580808997382,91.18075228013296,33.35067349525407,57.74465480355259,85.59100732787599,87.59199322445414,62.39003849736641,29.11207939663939,82.85021135000127,20.263766932018466,30.26156738769061,45.725934381648436,51.14802302296769,57.09505424745772,22.76121105558222,54.229698533885546,51.110854348314064,38.37868598541099,105.06181229611047,46.82468069065485,23.54863955878852,39.762034305067274,53.55533838294035,40.81026381657582,65.4829998394693,58.7702102857324,41.55696174297653,90.76145864096306,40.27771373163115,55.47460817751129,26.344754095077885,129.24840070745498,95.66137312180612,40.03590221951685,45.24877176478457,50.02566773229888,40.892494112049704,52.47486050165502,58.45621533112179,101.57661418922942,106.05815401793888,63.8749638255109,21.9975905954817,33.496036389462304,53.497385886242,51.69053388701049,100.75588742550168,45.454779523258686,56.697899415470886,76.1939727955052,45.5606068421252,58.80767238333546,74.28351417116194,44.282166752288205,40.847158805177,38.22170350250555,92.57425798400752,67.03610602668374,36.12270556151299,50.69542269172249,28.80253622124104,49.16059348463639,53.11994752007797,26.172117196102604,38.36157225879512,27.68234036669961,45.414106705977204,82.31770281633652,32.88233991188189,30.082885950445593,32.808841569891094,34.59546789727926,36.632749283910016,54.11362318743631,36.88871410448721,30.54880701823719,27.7973425981356,49.9821651797218,64.109228787722
ENSG00000272681.2,11.998711661057296,9.906883283368948,9.937088572650724,13.5660969957414,5.614483045019507,10.972605657658963,9.855905791143897,7.799355841959332,10.93219899089959,15.25757884139431,5.502928433142513,4.61335072353984,21.980113280728197,20.893279466739106,9.38937610839794,13.601763655316667,10.233254430566474,32.907657690476995,6.4650161642731945,9.633559136671048,13.530685230177095,6.446423662510703,6.882228039064254,15.036637773990812,5.91942995499021,15.38599439236395,20.166257147458406,10.893038529261796,10.539426981015806,39.468253528079636,11.682695434229164,5.442898295900097,15.931073409013374,5.243989094440916,12.13315001543902,18.212159532499886,6.8452506962292174,9.246508022768692,7.996894198585894,9.638418515183837,5.0923828806283336,19.169682232609496,8.656155090843141,10.618267087768093,22.09342493857369,10.779049169928054,5.5690105448675515,13.396612070978351,14.839343973669186,16.305088014488028,7.982456116491889,11.161201501178617,4.514055668757004,9.437306639180463,14.572547538559935,16.38516357422165,26.365441697217488,24.906672807516195,17.619027737283382,10.230847832373325,6.925717826344358,5.3497385886242,8.561356278430457,14.81279254610456,6.198379025898912,9.860504246168848,4.388405281639264,14.40624218795292,10.103104653936684,11.341957162804382,16.910208723100894,14.738961903779895,13.63503789728391,19.560966188416078,11.794471115329097,8.00732304136763,13.492825261199044,13.746665014683222,16.597670367645225,7.647511520238568,14.360108242627218,14.084438689790108,6.949805866340197,9.75917874724956,19.476208510960493,16.502764148950735,10.939231254707488,14.597970584958837,12.543343865585339,6.923690670519087,9.84304153314515,4.8115179430286155,6.895195267993463,13.251542120845812,10.181552166239626,4.760586296117968
ENSG00000261773.1,6.276649226723539,14.683944058826812,16.088619593815455,21.743819668087554,11.235407723800662,6.095892032032758,17.251371665693284,4.670506018439641,24.436910091752885,14.360074203665233,2.8094034810283306,0.0,3.0551166728488965,11.88533351804766,9.108235247103996,4.117828386116443,3.945807488313433,3.3834294429155487,5.481885654516172,12.55475528563056,18.045148235021948,34.236402931150394,13.13879898366812,17.285851113575347,7.53381994271481,22.48791450928606,13.048754624826026,10.894164259568619,10.510328386141037,44.415730452106544,7.378544484776313,14.844268079727534,11.246522079028647,34.61032802331005,14.652324097526805,10.473921551233248,5.989594359200566,7.791757650356032,9.842331321336484,16.066601514882105,7.407102371823031,18.94774645457203,12.308962929928818,10.618267087768093,8.406615021716714,58.51483835103801,13.910528531310623,10.64617321967525,44.99759135741025,7.285155214515734,18.093567197381613,15.005360498636431,3.009370445838003,15.497335950185285,2.6495540979199883,14.855014547926608,4.633124164807033,4.855253342700004,3.3038774392505643,5.78883963038992,18.7983769572204,8.321815582304309,22.014916144535466,3.137688598337097,16.529010735730427,4.930252123084424,10.987325156060617,28.20418518798227,21.38460813939471,6.4380295665747855,7.957745281459244,6.142411422097527,22.420350220506602,4.747154401518256,8.480838066130563,14.366046475974064,11.342850890704325,6.546030959372962,27.66481269900664,13.965021036957385,10.93839574651999,13.657637517372226,10.108808532858466,7.3965547819959925,12.864624126694682,4.7153449194098895,21.878462509414977,4.865990194986279,7.032796313860188,12.631982511693108,17.61386379615448,24.05785702466557,5.171978298553684,2.2601211148938822,7.404765211810638,3.808469036894376
ENSG00000280195.1,26.284813633167698,31.282941403725705,62.10888563572035,28.711264283731747,51.48663040790733,59.516144594186066,35.98365036480301,40.83049771440304,34.58440131501141,25.476746147505125,51.09171805919852,61.674770428110705,44.847737954919005,36.17719826659094,24.050963107229556,65.10879645737697,29.255499105789493,55.328967922789744,25.422884276145115,45.439868914292774,44.25428243453253,47.68052481616918,19.763443996943032,43.291441784824315,4.533476150528638,18.391918417586783,38.08373937289111,59.96232740855253,20.986873573898038,41.67998272525943,12.51856154861291,21.85689824416522,21.75789649815811,17.655777122509345,37.05668004371164,17.822634390009522,25.443711272250294,50.08804789469557,31.15725311824733,38.37829103859888,30.586333001528136,19.57409304715512,50.18544717988284,61.95752599673221,51.58551175776028,6.443048319310567,19.30955241752556,44.82478080128593,18.356240826697075,60.121289794432194,25.60809173632475,35.14812770742031,27.36661296036163,34.854161071375124,29.82523561405593,21.47960828557448,60.4281705568788,50.89567869018706,20.265874083114987,40.127194326729466,41.35227387518907,50.92642040362896,51.513313812046974,40.15974702340625,40.26714950384969,20.256803641813896,26.774759119146676,42.42256580705615,35.24397267453642,51.452651820696104,41.015611786065215,34.032767573501985,42.48890761356488,49.03612698668295,70.57227626673753,40.6216724495722,50.51393707747122,29.219387472733906,20.50228203198302,31.261497592431226,33.32628378081611,28.54360880896312,44.03896119334459,30.59724598274081,44.92599172376231,36.5004240685451,59.024263119462454,38.349549965314154,21.12010270019961,34.273094950725735,28.071007510004378,67.28715300276464,50.04475161391193,34.839540973977705,36.384239463883034,22.908766425210995
ENSG00000273769.5,5.403621119136812,16.191184171265117,2.9861329716570566,9.419465315156053,4.011489973705789,13.427055625436633,9.857926666110448,53.96808625190493,7.721883527551133,14.493981895614409,59.49099164642893,5.024158308775211,111.83712848464316,16.155837201808428,6.782234851266892,59.130368493277686,7.303729118943046,131.9765864224461,6.8674870725516834,14.408871086813154,18.89453336244443,0.8559100732787599,11.31569677612,15.811151940448447,14.636059628711244,10.684540791863343,18.234211087689843,15.902211569692314,7.723424726026715,61.07729020003745,1.2297574141293857,10.429483791029368,6.312944633909023,14.946732356321167,8.107936800986947,6.744692256838203,8.627326149358794,15.53131052445468,9.359515758368325,8.674058247989903,8.421829102372964,7.154463107480588,10.777235582928474,13.03923198377922,81.46346220644364,14.408611669470684,13.261370533182793,14.782610747014825,0.0,71.0499332606076,12.399947331358499,5.611308149038304,9.028111337514009,12.699332726842355,6.372981303573941,13.58499333193748,84.84121373104661,103.85581110169016,22.88122346402573,10.581396805031217,6.1210483537492335,1.2162987330476358,13.65878780660795,87.29834102723387,14.462884393764124,12.489930959712849,20.318860411102897,19.843596877181614,16.068020325298743,51.13767122415143,9.312153528363607,14.504444635684216,13.392898114902437,77.71487351485511,66.79033133952727,19.078828022417355,5.677582092752282,7.963783436615878,20.615818423299746,4.0085595385083534,14.386998465504082,6.831729542682004,15.127010628729405,17.960478689526717,94.90611589560513,13.962018422749699,5.469615627353744,8.758782350975302,9.679677116535393,2.611965551872831,9.324986715611196,9.418704487061067,27.231327738268238,18.25228609966001,13.147253193134935,4.5526184969099575
ENSG00000260081.1,35.866567009848794,62.74048825135092,136.28007185349563,58.83621792541338,86.13812588247175,40.2328874114162,110.90167499374256,49.040313193616235,95.17533404156387,55.64528753920278,36.5222452533683,89.21682455186503,97.76373353116469,25.320927929753715,58.292705581465576,63.41455714619322,42.41743049936941,83.73987871215985,45.68238045430145,50.21902114252224,64.96253364607901,56.490064836398155,66.94530910726138,38.89316500554453,63.49933951716769,44.97582901857212,66.43002354456885,83.52192599002608,105.10328386141035,53.995593882953045,11.067816727164473,73.23172252665584,39.36282727660026,61.87907131440282,55.678831570601865,67.0330979278928,29.94797179600282,79.86551591614933,46.75107377634829,43.915377474011095,33.33196067320364,65.90520505938098,95.18931332478284,51.21752359982258,51.37375846604658,167.33190616174025,40.57237488298932,51.90009444591684,276.68731707003326,81.95799616330201,94.19298217460428,67.52412224386394,47.14680365146205,37.519947549585154,40.62649616810649,60.24533677770236,53.74424031176159,52.43673610116005,47.35557662925809,62.51946800821115,45.511860001691495,44.581154905201664,113.74373341343323,105.11256804429271,123.96758051797823,61.6281515385553,107.33771498613063,125.83405699253628,149.69225697576297,63.57554196992601,45.75703536839065,74.93741934958982,50.95534141024228,63.295392020243405,85.65646446791867,56.267015364231746,90.11264874281768,56.29586625060748,47.58347784229142,56.52508514958942,40.1074510705733,57.19135710399621,51.175843197595995,34.517255649314635,58.26917986797003,21.219052137344512,41.02211720515308,43.79391175487651,13.186493088487852,63.159912558465535,63.202687739142554,88.74676146876631,36.20384808987578,31.64169560851435,35.17263475610053,54.58805619548605
ENSG00000236337.1,28.9575005403241,29.968060958458032,3.878881009023998,16.187548948902247,22.485496380360427,16.830514064761164,32.80225098148252,27.666676501430906,9.068177212163931,16.099617692511732,70.90953115472047,9.511210824133354,56.07643739639103,14.74494476248993,10.755611395463538,55.957169938936346,22.529278370836,48.370860687697856,19.019859102148406,21.91425149956646,18.51287847727372,25.484037703816448,10.36488568966855,3.2410970837953768,11.838859909980414,18.34422036733814,13.18552929830261,8.769669078056232,21.8182405492418,56.37453524183489,12.694908761799061,22.2177129202898,5.936279865278888,8.390382551105468,9.76445530183284,11.601858163085556,8.379741988239553,17.087811512083928,21.181804265789765,26.039248185846194,10.268743784397213,23.104552500679837,27.290447891203776,17.535068729134863,69.96676231641099,12.751512510413745,19.905502644021126,40.15683307595406,4.312224493292312,82.02820684668191,21.993369524906672,21.253592610268644,11.159247174908288,18.335713811924744,17.759077933658375,15.831236587301186,68.7716858778299,97.63914472169708,18.95731835867581,12.240617175252096,13.35110200914838,14.315306047759623,30.35086414266381,91.55069350013021,9.714223576969294,11.77895162667315,5.916252007109562,13.220364678433606,23.451270131506163,32.64869648875322,19.92907886743848,23.548408365352174,29.716645557039193,85.99549317590345,52.25909378025784,15.836531049843973,7.689444650485023,23.675030170764195,26.689904699493642,20.9638240799792,14.584527662026654,16.31490161684596,31.0787736736334,19.16833608542666,65.88420493411803,17.673348525194246,28.527600746807558,12.871225304366007,15.383802386799545,33.76667877183197,13.62080087356626,21.597433255800766,20.85824367951377,18.576839491758772,20.610145811858285,16.692519788708047
ENSG00000268066.5,3.5866567009848804,5.339616021391566,0.0,3.8371446473095685,14.980543631734216,7.315070438439308,0.0,43.59138950543666,9.003072139066854,7.1800371018326175,44.95045569645328,0.0,67.21256680267571,3.617275418536245,0.6072156831402664,43.6489808928343,7.891614976626866,96.42773912309315,4.568238045430143,5.169605117612584,5.413544470506585,9.415010806066359,1.2513141889207733,0.0,2.152519983632803,0.0,2.3725008408774597,10.894164259568619,6.005901934937733,20.90152021275601,0.0,7.916942975854684,0.9372101732523872,6.292786913329102,2.948054934584442,2.09478431024665,0.8556563370286522,5.8438182377670245,8.612039906169423,3.2133203029764212,3.703551185911516,9.885780758907146,2.4617925859857634,3.1230197316964983,97.14310691761536,4.1063044456868765,5.796053554712759,5.323086609837625,6.70176892557174,72.85155214515734,1.5964912232983777,3.21543439256495,0.0,7.340843344824607,0.8831846993066628,13.20445737593476,50.96436581287737,65.06039479218005,1.101292479750188,8.104375482545889,3.9575530436253463,13.671613612468386,3.66915269075591,72.1668377617532,0.0,4.930252123084424,5.071073148951053,8.678210827071467,2.673076017424339,47.480468053489034,4.973590800912029,2.4569645688390103,3.0573204846145363,68.04254642176167,63.606370304359885,4.7886821586580215,5.6714254453521615,1.3092061918745923,11.065925079602657,3.3250050087993777,0.9115329788766658,11.096830482864936,4.42260373312558,6.574715361774215,56.75569467659419,4.7153449194098895,2.734807813676872,4.865990194986279,2.6372986176975703,7.579189507015865,4.144438540271643,9.088523764873658,6.8959710647382435,5.650302787234706,6.4791695603343085,0.6347448394823959
