H_1106_BA9_mRNASeq,H_1104_CAP_mRNASeq,H_1105_BA9_mRNASeq,H_1105_CAP_mRNASeq,H_1104_BA9_mRNASeq
149.0,54.994502232513916,691.9601566916402,85.26266998603897,1499.083929891624
33492.0,18152.721365779696,82580.726790988,11534.522305902732,144303.8178699409
3.0,2.8347681563151506,83.34974614694758,4.7077547845052194,43.9731286101543
2069.0,1085.1492502374397,12137.610203059272,1158.107676988284,22818.056191523705
27902.0,6660.004306446815,35480.25703436386,10778.143037192227,67338.85013073175
3.0,2.8347681563151506,22.01691407655219,3.1385031896701463,15.990228585510653
5793.0,2826.263851846205,11595.050534744236,2370.6160759308505,46057.85466199025
75333.0,36069.590020953976,168967.23444378003,26854.07945854766,293108.88508670306
433456.0,159634.29918657508,382101.9711618435,127709.87945859782,807808.3591328396
8821.22,6413.776344389281,188137.67605757798,5603.431286450585,307747.93935673806
4.0,5.102582681367271,47.179101592611836,4.7077547845052194,67.95847148842029
23.0,28.914635194414537,47.179101592611836,17.78485140813083,57.96457862247612
13.0,11.906026256523631,97.50347662473114,9.415509569010439,45.97190718334313
160.942,183.12432203706493,467.139156509087,50.29315359641524,627.5185318312068
943.9739999999999,193.32835349253696,384.4200376867605,330.3222298741334,362.7763122551998
2611.31,27.32608781497865,1152.744288216203,1059.6162160577853,8.000411055974277
73.6125,40.871857363841215,4.719278353207369,29.26125909663817,2.0099317576272253
331.319,28.625375451744137,94.35820318522367,209.8581081127541,1.9987785731888317
123.527,2.5672737635489407,110.99135271537095,61.162103992561924,8.590630380851207e-07
2312.26,36.04197937911147,408.2061680730356,1007.2084436289433,4.031276540907359
52.0,83.90913742692845,15.726367197537279,31.90811576164649,9.99389286594416
307.123,38.32198340723574,153.30817609784822,120.14033284897837,10.153375408298896
3619.77,29.27567126680283,149.68670825959933,603.2098513773033,4.409165617954439
17.4221,12.314062784943635,6.2905468790149115,18.018460662215276,1.9987785731888317
239.99599999999998,149.66895520986478,688.5978593848067,332.9402646181833,417.72073645358756
1485.98,830.5757307277138,4854.273489231029,1010.0592506928938,3417.291738795214
144.231,64.59756283884711,142.54048974136643,156.07357895137682,117.47621186060039
272.999,161.86469477196385,654.9764589531918,126.06216528402098,765.4762277312732
458.19199999999995,202.84523714691818,252.40190297359433,139.1847702038968,254.43651725264553
944.0269999999999,193.33402302884957,384.59774563609267,330.3332146352973,362.7803098123461
889.5,368.1604117187488,139.8890242318616,366.2073522609571,212.73400110163374
83.9708,61.97029971157424,34.59800783458201,41.377189118427296,21.98656430507715
2449.0,499.4861491427295,1560.0556259956982,978.6899113121407,1163.2891295959
943.29,516.5032623850893,326.86625165393326,443.8403209929078,305.81312169789123
72.1073,49.69314560802583,99.2489461199858,65.1757264882851,109.92662531180885
102.89299999999999,51.22460075679353,150.80029232085695,57.22589790885062,151.9133677759281
1748.66,740.4527815021426,1187.3422960507849,1032.9807856547848,1285.1826421032479
133.683,96.48700373649878,72.34128910867149,94.644179103828,73.95480720798678
13.7879,11.482171721791392,4.717910159261184,3.210123832458419,7.995114292755327
423.0,199.5676782045866,949.8741513679713,199.81803640899932,765.5321935313226
5.0,2.2678145250521204,12.581093758029823,5.230838649450244,15.990228585510653
128.0,46.49014106820534,382.15072290015587,93.10892796021434,285.82533596600297
293.0,86.17695195198057,1042.6581451967215,144.89423058977175,845.4833364588758
730.0,346.4086687017114,2148.2217591835924,324.3119962659151,1914.829873114901
12226.0,3401.7217875781807,25017.504937842303,4753.786164620382,17601.244115500853
3195.86,894.3069884179911,8171.719196817123,1252.608008029252,5335.4195965558765
212.9,177.83577856464345,576.2376836685622,256.7567612759951,471.94560036562746
68.7428,22.814384208113708,32.52134104614722,40.46602933407956,40.55901492929045
3328.36,2233.836993930527,1910.7536145007793,1656.0730547386484,2208.710286730855
841.4010000000003,458.97958000351105,1413.7029075819767,409.81371557823394,1224.3698040139775
82.0,28.914635194414537,119.52039070128332,33.47736735648156,109.93282152538575
116.458,86.34363631957189,552.11343638754,69.55655385719967,540.3338092472833
838.7260000000001,314.3275974766928,1465.986787966909,566.3481314146273,1017.3922852031276
863.0,379.85893294623014,1915.392892824053,583.7615932786472,1571.0259670764096
740.41,322.9220475730092,1991.7758583024913,492.33281069263626,1771.7293199460203
77.0,30.615496088203624,94.35820318522367,52.831470359447465,29.981678597832477
292.0,90.71258100208482,992.3337701646024,156.88383585817667,649.6030362863703
951.0,413.876150822012,759.5835356410506,573.8229998446917,523.6799861754739
426.61199999999997,113.95767988386905,2862.198829951785,162.67908199790259,1467.1034727206024
1512.0,269.3029748499393,3500.689338171798,296.58855142382885,2122.7028447265393
327.0,56.69536312630301,734.4213481249909,190.9256107049339,377.7691503326892
465.0,132.100196084286,434.0477346520289,225.4491457913055,385.7642646254445
9.0,1.1339072625260602,9.435820318522367,5.678336895910712,25.98412145145481
65.0,29.481588825677566,125.81093758029823,103.0475213941698,129.92060725727407
1354.31,139.62367077114644,1121.289981184408,188.99647741101663,969.4076079965834
826.674,440.8937591662204,599.0078907338765,353.2866577129498,598.5922083200184
3271.6,803.826858404724,1316.381856816737,1265.8577223283094,1246.2624257261148
1418.0,692.2503837721597,879.1039263423339,714.0094756499583,943.4234865451286
68.8117,116.22549440892116,42.27310408166811,35.04661895131663,77.6141710197809
580.27,348.0709767485746,446.63197368349825,217.0886963778892,455.7215146870536
29.4375,23.981004695163648,1.5916498976955504,9.499202987401643,8.118299016220956
858.3969999999997,1266.8805672024912,281.5019728359173,357.1454473846493,372.7142393210946
