	int__beta	int__p	int__padj	Subject_death__beta	Subject_death__p	Subject_death__padj	counts__beta	counts__p	counts__padj	status
ENSG00000124574.14	-0.2616747320423833	0.9183321414369737	0.990526760087729	-0.060584445497139046	0.13258278791257128	0.9167572332199594	0.006622254237078277	0.08607478400970203	0.435103834726958	PL
ENSG00000056736.9	0.8720977075484732	0.7010818551341855	0.9622250193274714	-0.020235262424880034	0.6150874478946012	0.9167572332199594	0.0007773100068260962	0.8537554864492255	0.8911683305548767	PL
ENSG00000160145.15	0.18587842358383108	0.9620262866357044	0.994168704461459	-0.008757933251786598	0.8030493074462985	0.94001422006004	6.926679822544344e-05	0.8126547914703854	0.8581082886513212	PL
ENSG00000119729.11	2.924269886002283	0.33322479124717863	0.821862113719688	0.02441735124135399	0.6947329860462708	0.9178780156746273	-0.0015255939077046205	0.46179649083176144	0.5795815168974708	PL
ENSG00000010219.13	-3.299546911752342	0.45179657404506035	0.8720989172812981	-0.003876827925489354	0.896956540146803	0.9692917449973516	0.00886378364773255	0.24521309083705445	0.43718332543112604	PL
ENSG00000171462.14	-0.36940822973417436	0.8699466180063428	0.9841482720256444	-0.023137532023302505	0.4479316331934914	0.9167572332199594	0.013255295848407908	0.26424171827006404	0.44344803007375233	PL
ENSG00000197467.13	1.2048382976381038	0.6876915758744987	0.9592791563054264	-0.013758866081307553	0.6188852107862859	0.9167572332199594	-0.004569222339094417	0.9415235415809855	0.9561806304583336	PL
ENSG00000029725.16	4.1977367924930595	0.464729515572619	0.8776137752441633	-0.03101370884639984	0.44506438707391305	0.9167572332199594	-0.0004841921742385833	0.5689094825606185	0.6637396873211293	PL
ENSG00000137221.14	-0.6883494832040518	0.7679012892486324	0.9724074287262956	-0.03372349760140923	0.3470028058254745	0.9167572332199594	0.003971704322702923	0.16342234630059294	0.435103834726958	PL
ENSG00000171453.17	-3.3480261239553495	0.4524704809490415	0.8721697370431077	-0.007893163181333923	0.7873869727773141	0.9355325525063374	0.011044947933715635	0.2631738948627068	0.44265282916055126	PL
