gene_id,H_0689_BA9_mRNASeq,H_0709_BA9_mRNASeq,C_0074_BA9_mRNASeq,C_0107_BA9_mRNASeq,H_1106_BA9_mRNASeq,H_0821_BA9_mRNASeq,H_0723_BA9_mRNASeq,C_0103_BA9_mRNASeq,C_0113_CAP_mRNASeq,H_0513_BA9_mRNASeq,C_0106_BA9_mRNASeq,H_1104_CAP_mRNASeq,C_0114_CAP_mRNASeq,H_1105_BA9_mRNASeq,H_0656_BA9_mRNASeq,C_0054_BA9_mRNASeq,H_0802_BA9_mRNASeq,H_1105_CAP_mRNASeq,H_0791_BA9_mRNASeq,H_1104_BA9_mRNASeq,H_0601_BA9_mRNASeq
ENSG00000272681.2,1.49973,3.5,4.33721,25.355,13.7879,33.5786,7.5,19.0651,17.0984,15.0,24.4515,20.2524,12.5045,3.0,3.27696,10.9011,22.9899,6.13692,21.5098,4.0,4.0
ENSG00000160211.15,251.0,559.0,341.0,637.0,423.0,567.0,745.0,421.959,377.0,2448.0,336.0,352.0,509.0,604.001,444.0,454.0,407.0,382.0,402.0,383.0,664.0010000000002
ENSG00000261773.1,3.0,7.0,3.0,4.0,5.0,4.0,10.0,8.0,8.0,34.0,5.0,4.0,4.0,8.0,8.0,8.0,6.0,10.0,16.0,8.0,3.0
ENSG00000126903.15,93.0,119.0,116.0,121.0,128.0,123.0,158.0,90.0,95.0,530.0,78.0,81.9999,82.0,243.0,88.0,83.9999,101.0,178.0,68.0001,143.0,132.0
ENSG00000196976.7,143.0,619.0,411.0,223.0,293.0,201.0,669.0,217.0,252.0,2468.0,230.0,152.0,207.0,663.0,471.0,414.0,235.0,277.0,299.0,423.0,375.0
ENSG00000071859.14,553.999,1248.0,682.0,615.0,730.0,608.0,1339.0,713.0,442.0,5503.0,503.0,611.0,627.0,1366.0,980.0,703.9989999999998,719.0,620.0,708.0,958.0,1041.0
ENSG00000203879.11,3943.0,12983.0,12773.0,14375.0,12226.0,10282.0,15963.0,10308.0,8840.0,56141.9,10157.0,6000.0,9029.0,15908.0,9974.0,13682.0,12288.0,9088.0,13412.0,8806.0,14200.0
ENSG00000071553.16,916.316,3230.02,3409.9,3833.63,3195.86,2956.12,4518.11,2442.69,2324.28,14938.5,2963.17,1577.39,2175.34,5196.19,2262.2,4092.3,3145.21,2394.66,3077.89,2669.34,4327.36
ENSG00000013563.13,162.347,159.591,393.94,442.767,212.9,282.053,344.0,361.164,373.262,1408.8,181.971,313.6690000000001,563.683,366.415,170.92,361.916,322.62,490.852,294.735,236.117,323.318
ENSG00000280195.1,13.0267,13.0807,53.1926,55.0748,68.7428,53.6164,25.1464,48.1486,59.8764,45.6527,58.5226,40.2403,39.034,20.6795,11.6717,58.7012,51.8547,77.3605,55.843,20.2919,27.1419
ENSG00000169057.20,812.0,1195.1,2672.55,6026.5,3328.36,6257.92,1392.0,4676.99,4076.55,4444.33,4688.88,3940.07,4958.77,1215.0,840.0,3561.96,4394.72,3165.98,6503.03,1105.03,2037.0
ENSG00000184216.12,750.685,604.342,915.44,778.7260000000001,841.4010000000002,909.647,852.941,999.434,612.9209999999998,2448.62,426.596,809.554,961.925,898.938,577.076,829.187,700.7769999999998,783.457,1064.17,612.559,817.985
ENSG00000177854.7,44.0,99.0,57.0,57.0,82.0,54.0,85.0,51.0,50.0,376.0,51.0,51.0,60.0,76.0,69.0,72.0,55.0,64.0,72.0,55.0,68.0
ENSG00000089820.15,219.373,176.519,118.811,123.22,116.458,276.276,285.0,144.0,120.0,1405.02,57.1013,152.29399999999995,395.562,351.075,232.61,96.0,123.0,132.974,106.59,270.332,203.011
ENSG00000180879.13,314.019,935.311,867.5269999999998,737.845,838.7260000000001,417.756,979.138,574.779,755.435,3679.4,520.865,554.415,670.9119999999998,932.184,699.0210000000002,934.084,754.3510000000001,1082.71,645.013,509.007,692.436
ENSG00000067829.18,370.981,866.998,957.0,924.0,863.0,712.313,1366.96,723.0,992.0,4337.93,657.961,670.0,1164.0,1217.95,779.98,1080.0,959.0,1116.0,838.0,785.993,1121.98
