gene_id,H_1106_BA9_mRNASeq,H_1104_CAP_mRNASeq,H_1105_BA9_mRNASeq,H_1105_CAP_mRNASeq,H_1104_BA9_mRNASeq
ENSG00000270607.1,171.02091134075326,116.33696906805409,559.7206878886765,138.0644069150375,229.7582460301281
ENSG00000224877.3,196.03187465936142,146.75186294205514,910.9529325681888,248.09543171534656,786.0150522083328
ENSG00000166833.19,1993.11690714007,2784.453119270924,942.2221607962782,2016.3080169473706,1036.091182711083
ENSG00000177054.13,448.5898783627405,349.6998045504084,383.26592364575833,418.1662518253223,348.2651308246152
ENSG00000111707.11,1789.791294799417,1226.4425768517508,1241.8098416026794,1207.0753837870336,1310.804652711822
ENSG00000171533.11,1788.6151035514608,1915.3779417152173,3683.2626474821973,1534.8276707813811,3569.7175909523053
ENSG00000267466.1,74.5144194459496,159.77552049890244,50.71294823152438,108.68402078969635,70.13672773551278
ENSG00000169062.14,1048.2635504413956,1169.8328556287665,2204.2289035964973,890.8518251873686,2404.6352919042024
ENSG00000141837.19,2748.089734211797,4121.978492273996,3773.400217320377,2010.5191235406794,3955.856554754098
ENSG00000160862.12,34.47612579634189,252.4671906969613,781.3550542338571,285.33707902021035,788.2811940665457
ENSG00000279113.1,64.21733825048047,2.2811170405500807,45.07817620579946,3.504172764341053,33.859109941282036
ENSG00000250764.1,19.60318746593614,68.43351121650241,11.269544051449866,25.930878456123796,9.674031411794868
ENSG00000235051.3,10.413010390310804,10.227464288540972,8.596877766781432,14.113476309115311,4.934022055879206
ENSG00000172296.12,1555.6481198183496,2089.845376699956,73.9689671618305,1330.443290128425,111.52005745810357
ENSG00000279254.1,2.0279159447520145,24.33191509920086,28.173860128624657,45.55424593643369,24.185078529487168
ENSG00000116199.11,3210.3666932576507,1991.042593950264,2086.105299363884,2117.992102223019,2397.1500100993258
ENSG00000101391.20,620.1982093554902,1181.2612520019222,877.146178671181,743.1579515159219,822.2926700025638
ENSG00000186591.11,2511.2359115845784,2263.6284765725304,2950.7422841379557,2679.9562884403936,2694.2177481848707
ENSG00000279923.1,46.64206672929634,43.34122377045153,61.98249228297424,64.47677886387538,55.62568061782047
ENSG00000181789.14,2147.562985492384,1268.3010745458448,3805.349374706237,1754.1888858291309,2624.081020449357
ENSG00000113360.16,1430.8096142594156,1743.3741131342729,1108.171831725903,1365.6321930279378,1386.5813407604114
ENSG00000126216.13,654.5355581040129,661.9413861779441,751.1526761759717,595.0092362196639,606.4795402525377
ENSG00000260766.1,72.30061120626199,19.90411484902378,163.39599224756643,50.37542699252468,118.50688479448709
ENSG00000178233.17,2680.370861096712,378.1415321843337,5382.0712829445865,421.3844840920932,3885.6230867044674
ENSG00000113361.12,915.3201408232692,1689.3344504436413,465.94869009390413,1064.0000098189887,335.90655569604723
ENSG00000280305.1,119.05421331251968,163.90510271464495,7.783892858909839,128.28075655699726,14.533176464546779
ENSG00000166619.12,2188.107784947792,3383.999111038702,5892.29988987398,4726.323099360282,5306.206229369484
ENSG00000204444.10,17.575271521184128,21.290501749035435,41.321661521982826,42.750907724960854,29.022094235384603
ENSG00000272379.1,1.4248543011016606,7.0933919641884025,1039.6191952609338,2.2056665047868327,903.5376043066701
ENSG00000080986.12,14.728280326346773,28.729756678912047,1.8782573419083104,38.22800185457056,6.751603262605755
ENSG00000258998.1,147.25982021609389,143.85636504525027,15.176150279458374,134.54691829419193,9.97382964524639
ENSG00000269332.5,6.759719815840048,3.8423515617198976,1.8782573419083104,5.663598205329641,4.837015705897434
ENSG00000260977.1,70.52753669856715,128.71583087477254,61.42277159508557,51.697901793787004,22.547748713040885
ENSG00000272459.1,13.5194396316801,12.926329896450456,18.782573419083107,4.905841870077474,19.348062823589725
ENSG00000136250.11,173.19821709343532,236.2902690177269,75.13029367633241,434.49569690715174,88.27408552791637
ENSG00000121335.11,34.340998997223245,238.88998207160716,35.408531758187095,58.634762198076544,118.22706343590096
ENSG00000225914.1,689.241311582499,955.4078538170587,81.53007991741659,521.7194628534705,175.6025344853298
ENSG00000125870.10,738.8373758713175,373.34282230336316,1209.597728188952,782.8321955537912,952.8920940617944
ENSG00000134250.18,3050.5939556904555,2926.8708598359344,450.0379721505988,3182.784055086749,1213.3170196673125
ENSG00000167680.15,911.8929628766383,1402.2786820608194,6234.180291248131,867.7032599061314,4237.225758366151
ENSG00000009954.10,2593.9681224106444,2505.3584493596218,1797.492276206253,2411.4665712365827,2077.4982456829475
ENSG00000181690.7,271.68057509040904,188.65294148757275,133.35627127549006,212.66193755688263,101.5775716746314
ENSG00000140396.12,2676.849047072659,3213.3335377882136,862.1201199359144,2623.223731385712,1141.5357065917942
ENSG00000164171.10,654.1205113073204,383.72114446551916,250.3510428456168,671.2761547664409,258.36435691480546
ENSG00000181638.17,211.4433598674952,219.36666169388593,497.150301057685,145.868199661225,505.46814126628175
ENSG00000074276.10,94.09462386451187,156.63670345110555,174.8991915123497,61.67344065240253,227.68824515878924
ENSG00000119004.15,261.0718708114296,231.8162381288614,134.14457588188898,277.78138170573817,102.62986444144941
ENSG00000088970.15,679.3518414919249,1113.1851157884394,698.7117311898916,735.1754459587529,756.9929579729483
ENSG00000053501.12,280.74941519534,194.12077903377133,808.6780637865972,247.58242082264712,841.8632355486245
ENSG00000260526.1,33.798599079200244,15.207446937000535,77.00855101824072,64.47677886387538,43.5331413530769
ENSG00000228784.7,25.219230286134213,33.66092342270384,11.276718994495948,24.151179192570254,4.958521540429577
ENSG00000119523.9,301.4835037864662,281.33776833450986,439.51221800654463,313.2730451320901,507.8866491192305
ENSG00000266158.2,26.315792034659786,35.78783695131273,26.409800833104374,27.52871115320802,23.293930940911153
ENSG00000154153.13,2022.4000133822888,677.4233275321574,2389.143338907371,1036.1768780701207,1688.752130415677
ENSG00000173545.4,541.4535572487879,316.3148962896112,935.3721562703386,613.9310683125525,669.9266752667945
ENSG00000141258.12,1966.334897229712,2813.6438136664965,7054.753358781034,2280.088125955908,5682.550236366835
ENSG00000204822.6,327.17043908665835,251.68324680735887,600.4281592598553,409.84173900635363,544.1642669134611
ENSG00000170004.16,4287.014307205759,3297.7348682885663,6804.926349733809,3400.4492505165576,5531.127459693715
ENSG00000125257.13,340.7290850932704,295.56357457172714,120.20846988213188,400.23890396295366,180.31330408130333
ENSG00000279807.1,0.7555609226957056,9.300798509434845,1.949368164872959,11.479319558704855,9.249099582031775
