gene_id,Gene name,HGNC symbol,H/C,Log2FC,C_0113_CAP_mRNASeq,H_1104_CAP_mRNASeq,C_0114_CAP_mRNASeq,H_1105_CAP_mRNASeq
ENSG00000179813,FAM216B,FAM216B,0.03351004153062362,-4.8992627152291295,599.1447295542199,14.054125591816963,15.04146180325904,6.527279188107702
ENSG00000146809,ASB15,ASB15,0.05708693449936254,-4.130695596373305,6.2297886253677275,13.4388337570334,772.9137005032543,31.04007957245704
ENSG00000179023,KLHDC7A,KLHDC7A,0.06505840271477084,-3.9421207873736543,6.2297886253677275,6.203469037890903,286.54776355291165,12.844170857568429
ENSG00000211899,IGHM,IGHM,0.07107877423913365,-3.814437387619884,1.0382981042279544,7.236295099941063,386.88199530140884,20.336603857816684
ENSG00000279296,PRAL,PRAL,0.09515107573160742,-3.3936362227774506,1430.6190429104868,148.2644503026924,820.8607089275424,65.96627007262856
ENSG00000235281,RP11-526P5.2,,0.09550304795475291,-3.3883094126573616,16.612769667647267,1.0337564428487231,106.286262445442,10.70347571464036
ENSG00000131401,NAPSB,NAPSB,0.09778638145802034,-3.35422263227661,31.148943126838628,9.303807985638507,197.62017349005922,13.066696117675805
ENSG00000197057,DTHD1,DTHD1,0.10942091031911581,-3.1920396316103368,508.76607107169764,29.978936842612967,58.669931840874035,32.11042714392108
ENSG00000269138,ZNF209P,ZNF209P,0.12116976451290823,-3.044898346812104,64.50966887530366,4.135025771394893,31.460733683850837,7.493685306906864
ENSG00000278558,TMEM191B,TMEM191B,0.12607896266830174,-2.9876005248999578,74.45832982058464,3.4299418519854923,65.16521288242993,14.17364957608391
ENSG00000273851,RP11-809H16.3,,0.12727707472517008,-2.97395551193094,19.727663980331133,9.303807985638507,112.23829314238677,7.492433000248251
ENSG00000230442,RP11-390E23.3,,0.1287547069991645,-2.957302919754826,1.0382981042279544,5.499160435813639,116.48974364020442,9.633128143176325
ENSG00000077327,SPAG6,SPAG6,0.13273306605084517,-2.9134002796794984,472.42563742371925,39.282744828251474,49.3168257746851,29.969732000993005
ENSG00000213085,CFAP45,CFAP45,0.15570389432965387,-2.6831230665923247,167.64984169727092,5.168792551808044,16.779964940826645,23.54764657220879
ENSG00000186710,CFAP73,CFAP73,0.1615726064679029,-2.6297454751574083,198.78944014117147,14.508668299737543,23.850127118697447,21.463786885325455
ENSG00000152595,MEPE,MEPE,0.1629644348450717,-2.6173709480452163,87.21714458495859,4.135025771394893,135.19612583060223,32.11042714392108
ENSG00000272872,LL22NC03-N14H11.1,,0.1688048848094746,-2.5665714420955945,10.382981042279543,5.168782214243617,64.62204756682874,7.492433000248251
ENSG00000163071,SPATA18,SPATA18,0.16902127895885183,-2.5647232086408547,324.9873066233497,42.38401415679765,71.42436836333701,24.617994143672828
ENSG00000238184,CD81-AS1,CD81-AS1,0.16985312645640926,-2.5576403209938,26.99575070992681,7.236295099941063,40.81392477904973,4.281390285856144
ENSG00000265107,GJA5,GJA5,0.17028017022665642,-2.554017657412737,29.072346918382724,17.573859528428294,231.2789070812818,26.758796321358048
ENSG00000110195,FOLR1,FOLR1,0.1857966243453852,-2.4282038046006664,96.56172369319977,6.2025386570923375,5.952030696944753,12.844170857568429
ENSG00000176601,MAP3K19,MAP3K19,0.18944575950435588,-2.400143247521633,281.37878624577564,14.472590199882125,32.31093875440441,44.95459800148951
ENSG00000211677,IGLC2,IGLC2,0.19081844157391945,-2.389727488106013,2.0765962084559093,2.412094920792211,100.31212420590859,17.125561143424576
ENSG00000140481,CCDC33,CCDC33,0.19391482023907816,-2.366505027036464,99.68949290237605,8.42445340509367,5.12680714951635,11.900980577594323
ENSG00000188931,CFAP126,CFAP126,0.20177939643821452,-2.309149225566697,136.65871988227488,10.1799889339038,2.5707925957233817,17.913658060293546
ENSG00000273294,C1QTNF3-AMACR,C1QTNF3-AMACR,0.20232355683894973,-2.3052637900372717,153.18427250916702,57.127035042129,195.16623626271888,13.352478919256704
ENSG00000271468,RP11-14N4.1,,0.20259568643795112,-2.303324637534225,33.225539335294535,9.303807985638507,39.113344579922654,5.35173785732018
ENSG00000268643,AC006486.9,,0.20405409857029463,-2.2929764064542737,56.34677683948432,13.045282679240891,50.293809099083596,8.715165955461622
ENSG00000258484,SPESP1,SPESP1,0.20460025968810946,-2.2891201186677086,30.11064502261068,14.472590199882125,171.4099811710132,26.758582251843748
ENSG00000137473,TTC29,TTC29,0.20750483299041828,-2.2687831562585954,199.35323601176722,18.607615971277014,45.06537527686741,32.11042714392108
ENSG00000275553,ELOA3C,ELOA3C,0.2091722870712844,-2.2572363711860723,83.39506543348506,10.513303023771511,95.74266521085414,26.957345795864626
ENSG00000230062,ANKRD66,ANKRD66,0.20958258125479304,-2.2544092777333464,114.212791465075,4.135025771394893,2.550870298690608,20.336603857816684
ENSG00000267389,CTC-459F4.7,,0.2116149634474995,-2.2404864498161254,35.302135543750445,4.135025771394893,29.760153484723762,9.633128143176325
ENSG00000017483,SLC38A5,SLC38A5,0.21329932479684693,-2.229048696080806,189.04708902920055,39.28636297580145,256.07591725485315,55.65807371612986
ENSG00000168329,CX3CR1,CX3CR1,0.21486557029130982,-2.2184937687034236,832.7150795908194,87.86929764214146,901.3075055373482,284.71245400943354
ENSG00000230663,FAM224B,FAM224B,0.21552794954729768,-2.214053125532816,64.92862216035964,8.250761647566227,7.282054470682036,7.312657422145151
ENSG00000164185,ZNF474,ZNF474,0.2156151518087704,-2.2134695314940815,69.56597298327293,8.270051542789785,8.502900995635361,8.562780571712288
