gene_id,Gene name,HGNC symbol,H_1105_CAP_mRNASeq,H_1104_CAP_mRNASeq,C_0113_CAP_mRNASeq,C_0114_CAP_mRNASeq,H_CAP_L2FC,C_CAP_L2FC,all_L2FC,Entropy,Weighted,T-test Statistic,p-value
ENSG00000228253,MT-ATP8,MT-ATP8,333.0324105957872,264.64742481645936,880.7100948970703,1023.1824476288573,-0.33159097097358,-0.2163243129766069,-1.6715072789936316,1.7879040531036359,-0.10787962746004565,-8.265368492443354,0.03483406399824773
ENSG00000212907,MT-ND4L,MT-ND4L,3889.9558887116186,4814.844571934489,8121.496403046691,10501.042063269244,0.30773543171806333,-0.37071502313249105,-1.097166609638843,1.8921378591331435,0.18299791451996816,-3.88478415083154,0.11499348290079735
ENSG00000198786,MT-ND5,MT-ND5,17685.90933073762,11346.033939120249,30075.429203379463,44827.06248881651,-0.640412313276243,-0.5757846367783559,-1.36737256908328,1.824552707527272,-0.18975420290265177,-2.8568570726583404,0.1584155002179215
ENSG00000198727,MT-CYB,MT-CYB,18927.05589187553,30925.1140429686,48912.23176100717,63382.067681672306,0.7083288985271174,-0.3738794315297475,-1.17155648413777,1.8689185698248179,0.25795288817110446,-3.3219089517190987,0.0836325219228573
ENSG00000279851,CH507-216K13.2,,151.92457906044936,200.90023489716626,77.6970468750116,79.36472217349309,0.4031239563111155,-0.03063810270239445,1.1676199763935209,1.8812156428511118,0.8553303682133384,3.994834754192603,0.1557054944092682
ENSG00000183873,SCN5A,SCN5A,52.358188263770685,60.84968696415848,150.43184850726357,171.95689804256835,0.21683466418036174,-0.19293695277833067,-1.5098270636184579,1.823145182637333,0.08430395760522658,-9.040017594947305,0.03907045904964427
ENSG00000105227,PRX,PRX,340.8724055400706,399.98753834768854,149.58487161475904,207.74883157179082,0.23072323889831622,-0.47387608847254475,1.0519288403441887,1.9007915713531651,0.6773918905307813,4.624610923761484,0.04373605458886389
ENSG00000238184,CD81-AS1,CD81-AS1,3.433323820575126,6.761065597500787,23.704412492053645,37.348104552232044,0.977644710310625,-0.6558793902127796,-2.582275405903754,1.5499278120525304,-0.17764556843834445,-3.621431439088154,0.15034845482785292
ENSG00000111644,ACRBP,ACRBP,30.899914385176142,53.122658266077615,12.76391441879812,9.337026138058011,0.7817245003353679,0.4510358137037328,1.9266691916023735,1.6940802319252874,1.2133774343916905,2.753857591619896,0.21252092126956565
ENSG00000276462,BX255923.3,,59.639581422446405,39.942733576960975,15.563132021657825,17.247121256567308,-0.5783370617079077,-0.14822315306362688,1.6017428234999966,1.7859744556999466,0.6652892661071022,3.3776652070957294,0.18037589094408402
ENSG00000205116,TMEM88B,TMEM88B,11.15830241686916,7.726932111429472,31.909786046995308,26.454907391164365,-0.5301499298880712,0.2704635680619122,-1.627837203112758,1.7917719815708102,-0.023937895842026657,-6.126186428101799,0.03804239053776926
ENSG00000272144,CTD-2035E11.5,,11.15830241686916,9.65866513928684,21.88099614651107,21.786394322135358,-0.20822183500070857,0.006250971030837535,-1.0687963952434274,1.9062120520603445,0.15886119821176153,-15.207071789110579,0.04097019949984728
ENSG00000026103,FAS,FAS,616.2816257932352,769.0712117157145,204.22263070076997,298.10868010835867,0.31952741157363224,-0.5456956375691508,1.4635423576131752,1.8226294303401844,0.7650008904894603,4.92400346431826,0.05559786060346196
ENSG00000236998,RP11-203L2.3,,6.008316686006472,4.82933256964342,11.852206246026823,10.893197161067679,-0.31513703891722084,0.1217281884507727,-1.0695231598350827,1.903677031727629,0.16018625535652453,-7.835232480910111,0.01783845142389184
ENSG00000259932,CTD-2651B20.7,,39.820290502698924,20.18303643500796,6.8494082237423575,6.409183728526701,-0.9803605091610937,0.09583871987171705,2.1781149234702104,1.6176029862340182,0.7277990301037129,2.3798130461928046,0.2530460692180133
ENSG00000118777,ABCG2,ABCG2,621.431611524098,556.3391120229219,1394.9135043400806,1601.299982676949,-0.1596310973878726,-0.19906793694666905,-1.347081705487353,1.8553091293489334,0.03738209738175968,-8.402845402895082,0.05202618383122752
ENSG00000227212,PFN1P6,PFN1P6,12.016633372012944,21.428134958113425,49.34875763413007,29.432796260795666,0.8344735260873889,0.7455891530393972,-1.2360773212491607,1.8288764498753118,0.5432154519382344,-2.0581666511910655,0.22467024442744638
ENSG00000226994,AC012593.1,,44.46351763764473,26.990077278571743,93.74548115703556,81.27258784770297,-0.7201929810963597,0.20598031680460396,-1.2924253727502963,1.8533624602704344,0.011681105807095582,-4.824032105493187,0.049021257743512146
ENSG00000143452,HORMAD1,HORMAD1,34.23538847686487,29.94176534513781,12.76391441879812,12.449368184077349,-0.19332909894194872,0.035998314424888725,1.3478758494934902,1.855888331745065,0.7616083491803738,9.050569176858218,0.06855734565903025
ENSG00000229558,SACS-AS1,SACS-AS1,65.2331525909274,72.4399885446513,23.704412492053645,38.126190063736885,0.1511809653053164,-0.6856267336068318,1.1548541591051162,1.8794433476114347,0.6249629346037588,4.704222683939878,0.07382686017825689
ENSG00000213189,BTF3L4P2,BTF3L4P2,17.99602430483107,9.031634257109477,28.501182701455264,49.22713605637635,-0.994619251112012,-0.7884320212661428,-1.5240037765729062,1.764335907955626,-0.38567978524885876,-2.245227115444238,0.2102977862342333
ENSG00000277561,GOLGA8IP,GOLGA8IP,7.543390099423816,11.417218301196794,30.715448340664906,17.690552189573914,0.5979262537137364,0.7959853611336241,-1.3521806410954984,1.810895871559196,0.46315671132776454,-2.166892846719225,0.2446205170340389
