gene_id,C_0113_CAP_mRNASeq,H_1104_CAP_mRNASeq,C_0114_CAP_mRNASeq,H_1105_CAP_mRNASeq
ENSG00000203930.10,759.7230000000002,1284.6,1107.97,601.873
ENSG00000134595.8,7.0,0.0,9.0,17.0
ENSG00000230707.1,49.0,41.0,45.0,50.0
ENSG00000252719.1,7.0,10.0,14.0,2.0
ENSG00000101974.14,1499.0,899.0010000000002,1238.0,989.0
ENSG00000165370.1,702.0,714.0,463.0,544.0
ENSG00000234062.7,257.119,233.96400000000003,259.973,173.53599999999997
ENSG00000232611.1,335.602,360.79,452.105,266.334
ENSG00000102245.7,9.71883,16.7025,15.9366,16.0938
ENSG00000102239.4,17.0,19.0,12.0,64.0
ENSG00000156920.10,21.156,15.7353,15.5066,21.4009
ENSG00000129680.15,185.694,178.575,228.571,230.669
ENSG00000230162.1,10.0,43.0,13.0,20.0
ENSG00000278289.4,4.4609,31.3456,24.3458,87.0907
ENSG00000268940.5,9.71039,0.0,8.33345,32.4282
ENSG00000173275.12,596.0,211.0,728.0,506.0
ENSG00000186376.14,612.0,454.065,730.19,541.0
ENSG00000236491.1,5.0,6.0,15.0,9.0
ENSG00000196972.8,564.0,249.0,590.0,502.453
ENSG00000203950.6,223.0,289.0,281.0,235.0
ENSG00000134590.13,1855.0,1500.0,1741.0,2126.0
ENSG00000212747.4,270.0,182.0,235.0,219.0
ENSG00000184785.5,91.0,63.0,116.0,104.0
ENSG00000101928.12,262.163,151.0,226.0,275.496
ENSG00000235813.1,33.6034,34.2638,29.8265,27.3311
ENSG00000223749.8,16.0,22.0,12.0,17.0
ENSG00000226107.1,14.0,46.0,33.0,13.0
ENSG00000203952.9,116.733,177.333,181.621,118.15
ENSG00000076716.8,284.0,289.0,315.0,380.0
ENSG00000134588.12,16.604,27.5466,24.0286,11.2385
ENSG00000171004.17,1409.0,1047.0,1350.0,2082.0
ENSG00000147256.10,95.0,15.0,32.0,80.0
ENSG00000165675.16,552.4069999999998,415.66,713.045,495.175
ENSG00000134597.14,416.0,346.0,516.0,518.0
ENSG00000102078.15,876.678,511.172,655.707,961.177
ENSG00000156709.13,595.425,382.061,663.6339999999999,612.248
ENSG00000102034.16,30.0,44.0,90.0,94.0
ENSG00000156697.12,436.298,363.236,491.154,544.095
ENSG00000235189.1,31.0,21.0,37.0,82.0
ENSG00000171388.11,260.0,184.0,410.0,441.0
ENSG00000234592.1,21.0,39.0,36.0,10.0
ENSG00000218728.3,20.0,14.0,14.0,4.0
ENSG00000260683.1,92.2336,100.729,98.329,72.4919
ENSG00000198354.6,86.0,73.0,91.0,101.0
ENSG00000282815.1,12.0872,3.0267,9.0289,10.0553
ENSG00000101972.18,3557.55,3612.93,4137.0,3878.24
ENSG00000237025.1,17.0,23.0,45.0,19.0
ENSG00000101966.12,3628.85,2848.54,3371.04,3327.17
ENSG00000260585.1,107.0,82.0,88.0,48.0
ENSG00000234176.1,14.0006,16.0019,22.0013,15.0005
ENSG00000182890.4,135.851,139.08,206.576,120.683
ENSG00000158290.16,3591.0,4006.0,3531.0,4052.0
ENSG00000237757.2,39.0,45.0,67.0,37.0
ENSG00000131721.5,60.3289,37.579,89.9733,14.8378
ENSG00000233382.6,168.65900000000005,165.15599999999995,203.722,116.294
ENSG00000203989.4,10.476,21.6266,25.3923,16.9888
ENSG00000101882.9,929.029,849.3789999999998,946.96,1012.18
ENSG00000077721.15,1210.02,925.126,1063.01,1550.0
ENSG00000018610.13,792.47,495.653,659.084,902.995
ENSG00000005022.5,1836.0,945.0,1906.95,2520.0
ENSG00000266420.2,6.2514699999999985,27.3763,14.0997,17.3547
ENSG00000101856.9,3335.0,1594.0,2605.0,4271.0
ENSG00000250423.2,20.4517,25.2719,29.3451,24.6005
ENSG00000175556.16,166.0,453.0,322.0,440.001
ENSG00000174460.3,1966.0,728.0,989.0,1256.0
ENSG00000250995.1,4.0,2.0,8.0,9.0
ENSG00000131725.13,1858.0,1570.0,1851.0,1884.08
ENSG00000003096.13,2899.88,1720.0,1843.92,2892.0
ENSG00000235244.3,817.801,869.561,1120.36,609.715
ENSG00000229335.1,7.0,38.0,7.0,3.0
ENSG00000271826.5,69.4497,93.8054,68.3173,91.8776
ENSG00000175718.9,14.0,37.0,29.0,6.0
