gene_id,C_0113_CAP_mRNASeq,H_1104_CAP_mRNASeq,C_0114_CAP_mRNASeq,H_1105_CAP_mRNASeq
ENSG00000239779.6,1160.1460234211597,974.788057315453,866.909306778954,1137.2217860826786
ENSG00000227582.2,62.373442119417184,195.5422773361089,130.716690795744,64.2454636459289
ENSG00000214062.5,19.80013733359839,15.522102823494475,17.813204933814124,14.92137301326851
ENSG00000219693.3,1.039557368656953,7.566186932901087,13.860624408571567,9.415524926978982
ENSG00000170161.6,72.96174974213572,81.80717331751782,93.8976444454042,101.24140931379104
ENSG00000253390.1,12.49350441225613,18.594340895005992,20.452528131507584,24.18147052406714
ENSG00000228522.2,31.816069090693514,52.19700301004879,27.065977349934975,18.178282417121792
ENSG00000226493.1,12.474688423883437,8.278454839197053,19.50970064179642,9.593078607713295
ENSG00000117394.19,1540.7383716601566,1277.9864658010451,2794.128431046844,2139.08540268785
ENSG00000131848.9,324.60282792050225,307.0696209297716,296.232749801475,264.2383314425397
ENSG00000241735.1,6.237344211941719,7.295895382401303,11.086599451664314,3.1974370742718237
ENSG00000230219.3,17.683078752328505,27.608957330778644,16.710143424484034,15.882096272851385
ENSG00000116285.12,775.509797018087,747.1305492375341,716.7694366225207,1347.1868206265283
ENSG00000172014.12,427.7071673012675,271.35843636718533,580.5060531095285,658.1572499310377
ENSG00000238551.1,5.07810260343129,19.91723797830968,8.579178795266477,11.861425733190377
ENSG00000255666.5,29.107502366657823,26.904978227390423,24.599187765743313,24.51379081731979
ENSG00000224762.1,21.842243828588106,72.1201393874314,22.105848023721734,29.827185166108894
ENSG00000116128.10,465.721701158315,553.6216673713029,606.4972156036714,455.10187690468956
ENSG00000235832.2,11.868210655008971,25.124696514221096,21.719216651872568,5.111422906930937
ENSG00000277869.1,15.197289172396,3.088888113806852,1.381320735353346,7.460686506634255
ENSG00000281383.1,17.05986410981866,1027.8529528347062,70.6198571866083,60.34043374712072
ENSG00000154227.13,40.54273737762117,24.83536451759116,27.992179181707908,30.90855838462763
ENSG00000251163.1,1.039557368656953,1.0348068548996316,2.5447435619734464,1.0658123580906078
ENSG00000223602.2,75.25449351870863,43.081699867294404,81.92725555466652,68.87972236014267
ENSG00000206804.1,0.5197786843284765,0.5174034274498158,2.120619634977872,3.1974370742718237
ENSG00000236252.2,55.109327094453,103.10587844711851,86.75370101909076,49.78047148439479
ENSG00000143217.8,31.406171620232076,43.772536923625395,34.36489565917261,37.69373301870405
ENSG00000259013.2,14.553803161197344,19.661330243093,16.964957079822977,11.723935938996686
ENSG00000204779.2,124.38096004506713,253.87227013309135,149.13978593657777,102.09661714992293
